,id,mean_dist_day,mean_over_speed_perc,Cluster(4)
0,3423311935,71.24,28,Group 4
1,3423313212,52.53,25,Group 4
2,3423313724,64.54,27,Group 4
3,3423311373,55.69,22,Group 4
4,3423310999,54.58,25,Group 4
5,3423313857,41.91,10,Group 2
6,3423312432,58.64,20,Group 4
7,3423311434,52.02,8,Group 2
8,3423311328,31.25,34,Group 4
9,3423312488,44.31,19,Group 4
10,3423311254,49.35,40,Group 4
11,3423312943,58.07,45,Group 4
12,3423312536,44.22,22,Group 4
13,3423311542,55.73,19,Group 4
14,3423312176,46.63,43,Group 4
15,3423314176,52.97,32,Group 4
16,3423314202,46.25,35,Group 4
17,3423311346,51.55,27,Group 4
18,3423310666,57.05,26,Group 4
19,3423313527,58.45,30,Group 4
20,3423312182,43.42,23,Group 4
21,3423313590,55.68,37,Group 4
22,3423312268,55.15,18,Group 2
23,3423314255,43.84,22,Group 4
24,3423311976,59.26,32,Group 4
25,3423312669,37.14,41,Group 4
26,3423310697,64.3,29,Group 4
27,3423312113,45.75,16,Group 2
28,3423313343,45.97,23,Group 4
29,3423311431,56.04,39,Group 4
30,3423310755,33.64,45,Group 4
31,3423311821,41.67,33,Group 4
32,3423314359,50.68,39,Group 4
33,3423313106,54.22,35,Group 4
34,3423310754,56.2,29,Group 4
35,3423310524,46.16,41,Group 4
36,3423311780,50.22,24,Group 4
37,3423312156,49.66,33,Group 4
38,3423312916,38.61,37,Group 4
39,3423310588,55.28,36,Group 4
40,3423312995,57.87,41,Group 4
41,3423313389,61.69,12,Group 2
42,3423311369,37.41,21,Group 4
43,3423311408,53.83,32,Group 4
44,3423311598,62.98,22,Group 4
45,3423312047,46.97,13,Group 2
46,3423312322,58.03,24,Group 4
47,3423313247,59.87,36,Group 4
48,3423310944,81.34,31,Group 4
49,3423312404,48.56,26,Group 4
50,3423313738,17.66,23,Group 4
51,3423311461,46.01,21,Group 4
52,3423313866,45.34,26,Group 4
53,3423312074,39.64,31,Group 4
54,3423312444,51.22,36,Group 4
55,3423311834,36.21,31,Group 4
56,3423311527,47.32,55,Group 4
57,3423310476,54.87,27,Group 4
58,3423310548,58.97,6,Group 2
59,3423311011,57.3,42,Group 4
60,3423310633,59.94,32,Group 4
61,3423310595,61.72,25,Group 4
62,3423312757,53.19,23,Group 4
63,3423313776,35.13,38,Group 4
64,3423312067,48.47,20,Group 4
65,3423312235,51.17,43,Group 4
66,3423310893,42.14,39,Group 4
67,3423314121,54.31,35,Group 4
68,3423313750,48.93,32,Group 4
69,3423312776,53.51,44,Group 4
70,3423312927,51.72,24,Group 4
71,3423310765,49.86,10,Group 2
72,3423311457,49.2,41,Group 4
73,3423310678,60.2,39,Group 4
74,3423312564,54.06,20,Group 4
75,3423313058,72.91,30,Group 4
76,3423310803,61.92,40,Group 4
77,3423312166,44.2,24,Group 4
78,3423312608,60.75,39,Group 4
79,3423310646,68.36,37,Group 4
80,3423314440,56.39,20,Group 4
81,3423312301,38.19,15,Group 2
82,3423311400,66.19,27,Group 4
83,3423313288,58.2,17,Group 2
84,3423314357,47.55,22,Group 4
85,3423311015,37.62,16,Group 2
86,3423312270,17.81,26,Group 4
87,3423313457,31.25,29,Group 4
88,3423311768,61,41,Group 4
89,3423314289,40.98,33,Group 4
90,3423310618,53.69,24,Group 4
91,3423311628,51.46,9,Group 2
92,3423313173,64.57,29,Group 4
93,3423310552,53.79,23,Group 4
94,3423314153,64.28,34,Group 4
95,3423313814,38.41,24,Group 4
96,3423312466,58.89,42,Group 4
97,3423314103,44.17,33,Group 4
98,3423311257,50.41,43,Group 4
99,3423311814,63.63,28,Group 4
100,3423311017,45.78,24,Group 4
101,3423311127,55.61,20,Group 4
102,3423311066,67.23,5,Group 2
103,3423313316,49.69,38,Group 4
104,3423313648,54.6,30,Group 4
105,3423313558,40.94,59,Group 4
106,3423313353,43.84,36,Group 4
107,3423312285,56.36,19,Group 4
108,3423310853,69.53,23,Group 4
109,3423313991,51.48,19,Group 4
110,3423312791,52.93,41,Group 4
111,3423311030,55.52,8,Group 2
112,3423310575,52.14,23,Group 4
113,3423311959,62.86,21,Group 4
114,3423314029,37.53,33,Group 4
115,3423313843,63.47,25,Group 4
116,3423310628,62.11,33,Group 4
117,3423311869,43.52,25,Group 4
118,3423312133,47.97,27,Group 4
119,3423314085,42.27,37,Group 4
120,3423310504,56.05,30,Group 4
121,3423311462,62.08,37,Group 4
122,3423310974,35.25,53,Group 4
123,3423311980,39.81,25,Group 4
124,3423312931,60.27,33,Group 4
125,3423313867,53.41,22,Group 4
126,3423313838,56.28,27,Group 4
127,3423312956,53.31,25,Group 4
128,3423312985,55.24,30,Group 4
129,3423311863,44.97,29,Group 4
130,3423313131,40.3,43,Group 4
131,3423313166,47.18,42,Group 4
132,3423313841,46.4,34,Group 4
133,3423312477,35.11,15,Group 2
134,3423313132,54.33,38,Group 4
135,3423311934,54.59,64,Group 4
136,3423311470,61.67,50,Group 4
137,3423314234,52.39,19,Group 4
138,3423313633,52.37,6,Group 2
139,3423312165,40.84,25,Group 4
140,3423314381,27.42,27,Group 4
141,3423312732,44.79,31,Group 4
142,3423312525,59.84,37,Group 4
143,3423313793,36,45,Group 4
144,3423313029,47.64,10,Group 2
145,3423313920,51.85,37,Group 4
146,3423311655,59.73,15,Group 2
147,3423311576,42.96,37,Group 4
148,3423313408,51.84,27,Group 4
149,3423313342,59.62,23,Group 4
150,3423312729,58.82,30,Group 4
151,3423311987,50.93,30,Group 4
152,3423313012,41.35,23,Group 4
153,3423310573,24.58,45,Group 4
154,3423311451,57.74,22,Group 4
155,3423313032,38.14,33,Group 4
156,3423312160,51.82,20,Group 4
157,3423312397,41.37,17,Group 2
158,3423311095,55.01,24,Group 4
159,3423312803,64.56,53,Group 4
160,3423311951,46.09,35,Group 4
161,3423313818,57.81,20,Group 4
162,3423311313,46.31,23,Group 4
163,3423311389,66.62,37,Group 4
164,3423312703,42.89,17,Group 2
165,3423314199,40.82,23,Group 4
166,3423312834,50.55,41,Group 4
167,3423312795,40.43,40,Group 4
168,3423312077,53.36,25,Group 4
169,3423314379,44.83,27,Group 4
170,3423310461,35.87,35,Group 4
171,3423312709,46.95,23,Group 4
172,3423312808,47.75,20,Group 4
173,3423311713,57.12,26,Group 4
174,3423312819,38.03,43,Group 4
175,3423314401,54.31,45,Group 4
176,3423311992,50.29,39,Group 4
177,3423311164,33.6,24,Group 4
178,3423311785,45.13,44,Group 4
179,3423310769,31.68,31,Group 4
180,3423310596,72.36,4,Group 2
181,3423310503,48.43,55,Group 4
182,3423311126,44.48,36,Group 4
183,3423313487,56.54,20,Group 4
184,3423314331,54.11,50,Group 4
185,3423313472,49.51,29,Group 4
186,3423312200,50.66,36,Group 4
187,3423313015,61.82,23,Group 4
188,3423312340,50.45,15,Group 2
189,3423313441,67.7,43,Group 4
190,3423312358,41.61,12,Group 2
191,3423313702,39.63,31,Group 4
192,3423311137,36.08,31,Group 4
193,3423313567,45.18,27,Group 4
194,3423313538,49.33,28,Group 4
195,3423312814,48.66,45,Group 4
196,3423310890,53.81,25,Group 4
197,3423312595,35.57,44,Group 4
198,3423311887,48.83,39,Group 4
199,3423314123,69.14,40,Group 4
200,3423312427,60.75,59,Group 4
201,3423310735,52.01,39,Group 4
202,3423312257,47.88,45,Group 4
203,3423314416,40.3,30,Group 4
204,3423311310,48.52,30,Group 4
205,3423311848,55.06,37,Group 4
206,3423311622,48.45,28,Group 4
207,3423311051,58.65,40,Group 4
208,3423313971,69.29,21,Group 4
209,3423314179,51.7,21,Group 4
210,3423312887,69.95,18,Group 2
211,3423312583,53.04,37,Group 4
212,3423312990,47.97,27,Group 4
213,3423311820,64.01,26,Group 4
214,3423314018,61.76,23,Group 4
215,3423313775,49.98,28,Group 4
216,3423310869,81.96,27,Group 4
217,3423313262,56.56,25,Group 4
218,3423311532,51.69,30,Group 4
219,3423313252,54.83,40,Group 4
220,3423311201,54.97,39,Group 4
221,3423313632,44.07,27,Group 4
222,3423311574,45.95,40,Group 4
223,3423311102,42.24,22,Group 4
224,3423310805,43.52,49,Group 4
225,3423313805,51.33,31,Group 4
226,3423311177,56.68,55,Group 4
227,3423313477,51.06,24,Group 4
228,3423310780,41.95,28,Group 4
229,3423313713,53.56,27,Group 4
230,3423313597,47.86,45,Group 4
231,3423314406,43.74,34,Group 4
232,3423312012,41.22,39,Group 4
